Movie_id,Language,Movie_Name,Genres,Year of Release,Popularity,Vote_Average,Vote_Count,Adult
5550,en,RoboCop 3,Action Adventure Crime Science Fiction Thriller,1993-11-05,16.974,4.739,1015,False
1010821,en,Groot Takes a Bath,Animation Comedy Family Science Fiction,2022-08-10,91.812,6.976,212,False
10033,en,Just Friends,Comedy Romance,2005-11-23,22.24,6.184,1386,False
55465,en,A Very Harold & Kumar Christmas,Comedy,2011-11-04,12.611,6.013,805,False
2768,en,American Gigolo,Crime Drama Mystery,1980-02-08,17.372,6.106,515,False
11522,en,Pretty in Pink,Comedy Romance,1986-02-28,11.769,6.8,938,False
670429,en,Witch Hunt,Drama Fantasy Horror Thriller,2021-10-01,32.038,6.8,231,False
494407,ja,劇場版ポケットモンスター みんなの物語,Adventure Animation Family Fantasy,2018-07-13,20.451,7.1,162,False
183011,en,Justice League: The Flashpoint Paradox,Action Adventure Animation Science Fiction,2013-07-30,37.653,7.907,1548,False
800301,en,What's Love Got to Do With It?,Comedy Romance,2023-01-26,9.872,0.0,0,False
839678,en,Unhuman,Comedy Horror,2022-06-03,23.425,5.441,85,False
2026,en,Hostage,Action Crime Thriller,2005-03-10,22.541,6.345,1406,False
507569,ja,劇場版 七つの大罪 天空の囚われ人,Action Adventure Animation Fantasy,2018-08-18,12.176,7.549,917,False
39102,ja,ドラゴンボールゼット 超スーパーサイヤ人じんだ孫そん悟ご空くう,Action Animation Science Fiction,1991-03-19,55.0,6.5,427,False
314405,it,Il racconto dei racconti,Fantasy Horror Romance,2015-05-14,18.701,6.378,1494,False
403,en,Driving Miss Daisy,Drama,1989-12-13,14.745,7.223,1314,False
39107,ja,ドラゴンボールZ 復活のフュージョン!! 悟空とベジータ,Action Animation Fantasy Science Fiction,1995-03-04,52.6,7.4,683,False
760747,no,I onde dager,Action Comedy Horror Thriller,2021-07-30,26.499,6.7,417,False
514921,en,The Aeronauts,Adventure Drama Romance,2019-11-04,19.984,6.8,919,False
454699,en,Monster Family,Animation Comedy Family Fantasy,2017-08-24,17.407,5.976,295,False
340382,ja,進撃の巨人 ATTACK ON TITAN エンド オブ ザ ワールド,Action Fantasy Horror Science Fiction,2015-09-01,38.863,6.0,254,False
254473,en,Brick Mansions,Action Crime Drama,2014-04-22,41.777,5.901,1369,False
1266,en,Street Kings,Action Crime Drama Thriller,2008-04-10,14.634,6.629,1225,False
2309,en,Inkheart,Adventure Family Fantasy,2008-12-11,26.119,6.294,1887,False
554230,en,The Lost Daughter,Drama,2021-12-16,20.043,6.591,694,False
11565,en,Big Momma's House 2,Comedy Crime,2006-01-26,21.526,5.751,1378,False
59962,en,This Means War,Action Comedy Romance,2012-02-14,15.839,6.141,3041,False
60243,fa,جدایی نادر از سیمین,Drama,2011-02-15,10.186,7.894,1448,False
10040,en,Miss Congeniality 2: Armed and Fabulous,Action Comedy,2005-04-14,28.683,5.741,1605,False
2642,en,Two Weeks Notice,Comedy Romance,2002-12-19,16.345,6.355,1790,False
777831,en,9 Bullets,Action Thriller,2022-04-14,50.94,5.5,71,False
663870,da,Retfærdighedens ryttere,Action Comedy Drama,2020-11-19,12.906,7.269,565,False
16198,ja,ホーホケキョ となりの山田くん,Animation Family,1999-07-17,15.022,7.0,403,False
11622,en,Blast from the Past,Comedy Drama Romance,1999-02-12,36.556,6.68,882,False
113082,ja,ベルセルク 黄金時代篇I 覇王の卵,Action Adventure Animation Fantasy,2012-02-03,26.783,7.355,376,False
11825,en,Police Academy 5: Assignment Miami Beach,Comedy Crime,1988-03-17,20.606,5.149,754,False
474395,en,Teen Titans Go! To the Movies,Action Animation Comedy Science Fiction,2018-07-27,25.08,7.359,980,False
126319,fr,Ernest et Célestine,Adventure Animation Comedy Drama Family,2012-12-12,14.217,7.79,502,False
63492,en,What's Your Number?,Comedy Romance,2011-09-30,16.059,6.499,2096,False
11850,en,Invasion of the Body Snatchers,Horror Mystery Science Fiction,1978-12-19,18.593,7.2,839,False
425972,en,Cargo,Drama Horror Thriller,2017-10-06,18.047,6.402,1512,False
284293,en,Still Alice,Drama,2014-12-05,18.573,7.497,2747,False
35056,en,Date Night,Action Adventure Comedy,2010-04-08,18.299,6.068,2517,False
635,en,Angel Heart,Horror Mystery,1987-03-06,14.86,7.1,1247,False
5902,en,A Bridge Too Far,Drama History War,1977-06-15,14.36,7.228,648,False
750466,de,Wunderschön,Comedy Drama Romance,2022-02-03,19.892,7.2,54,False
975,en,Paths of Glory,Drama War,1957-10-25,19.943,8.286,2363,False
115782,en,Jobs,Drama History,2013-08-16,13.05,6.121,2213,False
394117,en,The Florida Project,Drama,2017-10-06,10.795,7.413,2358,False
2976,en,Hairspray,Comedy Drama Romance,2007-07-19,16.031,6.662,2260,False
870098,it,Tre di troppo,Comedy,2023-01-01,5.527,6.625,24,False
44683,en,Tinker Bell and the Great Fairy Rescue,Adventure Animation Family Fantasy,2010-07-29,31.588,6.678,761,False
8346,en,My Big Fat Greek Wedding,Comedy Drama Romance,2002-02-22,12.66,6.5,1854,False
22954,en,Invictus,Drama History,2009-12-10,15.787,7.188,3665,False
1064285,zh,黑石岭怪谈,Mystery Thriller,2022-12-21,1.754,0.0,0,False
241554,en,Run All Night,Action Crime Mystery,2015-03-11,31.883,6.4,2514,False
110,fr,Trois couleurs : Rouge,Drama Mystery Romance,1994-05-12,14.05,7.963,1109,False
10987,en,Halloween: The Curse of Michael Myers,Horror Thriller,1995-09-29,22.255,5.168,889,False
169917,en,A Walk Among the Tombstones,Crime Drama Mystery Thriller,2014-09-18,64.095,6.3,2499,False
1036561,en,Shadow Master,Action Fantasy Thriller,2022-11-03,6.535,5.9,11,False
915896,de,Mein Lotta-Leben - Alles Tschaka mit Alpaka,Comedy Family,2022-08-18,2.312,5.0,3,False
60670,fr,Les Rivières pourpres,Crime Mystery Thriller,2000-09-27,18.763,6.931,1292,False
506574,en,Descendants 3,Adventure Family Fantasy Music TV Movie,2019-08-02,50.68,7.796,1290,False
1051,en,The French Connection,Action Crime Thriller,1971-10-09,18.442,7.529,1472,False
1273,en,TMNT,Adventure Animation Comedy Family,2007-03-23,20.548,6.104,928,False
10185,en,The Midnight Meat Train,Fantasy Horror Mystery,2008-08-07,15.653,6.094,890,False
9757,en,Norbit,Comedy,2007-02-08,39.506,5.582,1975,False
962,en,The Gold Rush,Adventure Comedy Drama,1925-07-12,13.551,8.025,1296,False
479718,ko,범죄도시,Action Crime,2017-10-03,30.038,7.766,241,False
413644,en,The Son of Bigfoot,Animation Comedy Family,2017-07-26,18.876,6.597,409,False
429471,en,Captive State,Action Horror Science Fiction Thriller,2019-03-15,22.241,5.628,972,False
4584,en,Sense and Sensibility,Drama Romance,1995-12-13,19.639,7.459,1413,False
424277,en,Annette,Drama Romance,2021-07-06,19.148,6.8,539,False
10991,ja,劇場版ポケットモンスター 結晶塔の帝王 エンテイ,Action Adventure Animation Family Fantasy,2000-07-08,31.019,6.471,539,False
974691,en,South Park the Streaming Wars,Animation Comedy,2022-06-01,18.508,7.402,112,False
64328,en,The Muppets,Comedy Music,2011-11-22,18.374,6.6,1350,False
10045,fr,Banlieue 13,Action Science Fiction Thriller,2004-11-09,20.376,6.743,1585,False
9599,en,The Blob,Horror Science Fiction,1988-08-05,17.693,6.704,694,False
511322,en,The Good Liar,Crime,2019-11-08,19.411,6.702,927,False
10047,en,Joan of Arc,Action Adventure Drama History War,1999-10-27,24.449,6.355,1227,False
9929,fr,Astérix et Cléopâtre,Adventure Animation Comedy Family,1968-12-16,17.516,6.952,796,False
441168,en,From Straight A's to XXX,Drama TV Movie,2017-02-11,57.237,5.832,101,False
22971,en,Dear John,Drama Romance War,2010-02-04,21.526,6.839,3799,False
921935,bn,বল্লভপুরের রূপকথা,Comedy Horror,2022-10-25,3.604,0.0,0,False
792678,ja,CUBE 一度入ったら、最後,Horror Mystery Science Fiction Thriller,2021-10-22,26.855,5.336,55,False
9353,en,Nacho Libre,Comedy Family,2006-06-16,38.591,6.339,1321,False
10134,en,Cyborg,Action Science Fiction,1989-04-07,15.504,5.6,558,False
5961,sv,Fanny och Alexander,Drama Fantasy Mystery,1982-12-17,10.772,7.792,635,False
537056,en,Batman: Hush,Action Animation Crime Mystery,2019-07-19,23.605,7.234,715,False
25853,en,Dahmer,Crime Drama Thriller,2002-06-21,18.212,5.307,243,False
446696,en,Life Itself,Drama Romance,2018-09-21,30.842,7.278,454,False
726684,fr,"Miraculous World: Shanghai, la légende de Ladydragon",Action Animation Fantasy TV Movie,2021-05-15,107.696,7.9,499,False
23742,en,Cop Out,Action Comedy Crime,2010-02-26,13.355,5.556,1315,False
797838,en,Firebird,Drama Romance War,2021-11-25,23.274,6.913,52,False
402331,en,Hard Target 2,Action Thriller,2016-07-14,37.512,6.077,195,False
581600,en,Spenser Confidential,Action Comedy Thriller,2020-03-06,16.883,6.535,1959,False
287424,en,Maggie,Drama Horror Mystery,2015-05-08,26.133,5.369,1438,False
18148,ja,東京物語,Drama,1953-11-03,23.192,8.253,829,False
10771,en,The Tuxedo,Action Comedy Science Fiction Thriller,2002-09-27,17.821,5.697,1654,False
602147,en,Inheritance,Thriller,2020-04-30,17.537,6.344,449,False
11075,ja,オーディション,Drama Horror,1999-10-06,34.427,7.091,1219,False
23169,en,Remember Me,Drama Romance,2010-04-07,63.181,7.101,3241,False
14435,en,My Bloody Valentine,Horror Mystery,2009-01-16,18.325,5.504,968,False
272693,en,The DUFF,Comedy Romance,2015-02-20,19.014,6.799,4108,False
46146,nb,Trolljegeren,Fantasy Horror,2010-10-29,22.754,6.706,1355,False
1677,en,Ray,Drama Music,2004-10-29,19.114,7.452,1649,False
6282,en,Coyote Ugly,Comedy Drama Music Romance,2000-07-30,25.434,6.234,1794,False
514207,ru,Вторжение,Action Drama Science Fiction,2020-01-01,26.397,6.91,673,False
717151,en,The Phantom of the Open,Comedy Drama,2022-03-18,9.386,6.821,53,False
2623,en,An Officer and a Gentleman,Drama Romance,1982-07-28,14.468,6.995,927,False
10303,en,The Jewel of the Nile,Action Adventure Comedy Romance,1985-08-01,18.096,6.204,949,False
11081,en,Taking Lives,Crime Thriller,2004-03-19,14.817,6.4,1335,False
15739,en,Annie,Comedy Drama Family,1982-05-21,18.869,6.521,595,False
7735,de,Die Welle,Drama Thriller,2008-03-11,14.168,7.503,2906,False
11895,en,Police Academy 6: City Under Siege,Comedy Crime,1989-03-09,17.56,5.094,709,False
6950,en,Outbreak,Action Drama Science Fiction Thriller,1995-03-10,14.332,6.535,1926,False
812204,en,Rock Dog 2: Rock Around the Park,Animation Comedy Family Music,2021-08-05,30.961,6.7,91,False
351694,zh,西游记之大圣归来,Animation Comedy Fantasy,2015-07-10,46.851,6.871,210,False
